course_id,course_title,url,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject,year,revenue
1122146,Penny Stocks Value & Chart Pattern Trading (2 Course Bundle),https://www.udemy.com/basics-investing-penny-stocks-beginners-hot-best-penny-stocks-trading/,True,200,1033,2.0,31.0,Beginner Level,1.5,Business Finance,2017,206600
1103590,Trading con retrocesos de Fibonacci,https://www.udemy.com/trading-con-retrocesos-de-fibonacci/,True,25,14,4.0,15.0,All Levels,2.5,Business Finance,2017,350
1172370,Mit Finanzwissen zu besserem Unternehmertum,https://www.udemy.com/mit-finanzwissen-zu-besserem-unternehmertum/,True,50,49,3.0,23.0,Beginner Level,3.0,Business Finance,2017,2450
1128662,Volatility Trading Analysis with R,https://www.udemy.com/volatility-trading-analysis-with-r/,True,50,190,13.0,45.0,Expert Level,6.0,Business Finance,2017,9500
1068986,How To Profit From Stock Market Volatility,https://www.udemy.com/how-to-trade-stock-market-volatility/,False,0,1736,36.0,11.0,All Levels,0.6,Business Finance,2017,0
1222836,Case Studies in Macro Economics,https://www.udemy.com/case-studies-in-macro-economics/,True,50,114,1.0,22.0,Beginner Level,4.0,Business Finance,2017,5700
1225686,Learn Options on Futures for Hedging Options and Stocks,https://www.udemy.com/learn-options-on-futures-for-hedging-options-and-stocks/,True,60,51,2.0,6.0,Expert Level,0.7,Business Finance,2017,3060
1209694,Become A Forex Trader - Forex trading like a professional,https://www.udemy.com/become-a-forex-trader/,False,0,1735,31.0,19.0,All Levels,2.5,Business Finance,2017,0
1194426,The Binary Institute - Introductory Course in Binary Options,https://www.udemy.com/the-binary-institute-introductory-course-in-binary-options-trading/,False,0,1121,12.0,6.0,All Levels,,Business Finance,2017,0
1053272,The Financial Analyst Skills Training (FAST) course 2017,https://www.udemy.com/the-financial-analyst-skills-training-fast-course-2017/,True,100,589,31.0,138.0,All Levels,10.0,Business Finance,2017,58900
1273896,Covered Calls - Powerful Income Strategy for Stock Traders,https://www.udemy.com/covered-calls-income-strategy-for-stock-traders/,True,60,22,0.0,8.0,Beginner Level,1.0,Business Finance,2017,1320
1110470,The Passive Investing Blueprint - Build Wealth Passively,https://www.udemy.com/how-to-start-passive-investing-in-1-day/,True,200,338,32.0,66.0,All Levels,3.5,Business Finance,2017,67600
1084642,Chart Patterns Trading Demystified,https://www.udemy.com/stock-chart-patterns-forecasting-explosive-gains-technical-analysis/,True,200,1023,8.0,29.0,All Levels,,Business Finance,2017,204600
1134864,Simple things you must know before start FOREX (OFFER),https://www.udemy.com/forex-simple-things/,True,200,1053,20.0,15.0,Beginner Level,0.733333333,Business Finance,2017,210600
1079040,Leaps Options Trading System - Diagonal Leaps Options Spread,https://www.udemy.com/leaps-options-trading-system-diagonal-leaps-options-spread/,True,200,993,19.0,16.0,All Levels,1.0,Business Finance,2017,198600
1095116,Penny Stocks King: How 2 really Trade Penny Stocks (6 Hours),https://www.udemy.com/charting-for-penny-stocks-technical-analysis-best-penny-stocks-buy/,True,200,1085,17.0,48.0,All Levels,6.0,Business Finance,2017,217000
1249164,Corporate Internal Controls and Fraud Controls,https://www.udemy.com/corporate-internal-controls-fraud-controls/,True,50,1,0.0,12.0,Intermediate Level,2.0,Business Finance,2017,50
1208148,Coaching Course:Investment Analysis for your clients,https://www.udemy.com/coaching-courseinvestment-analysis-for-your-clientsjoanne/,True,200,1,0.0,6.0,Intermediate Level,0.566666667,Business Finance,2017,200
1072156,Binary Beginners Mastery Strategy.,https://www.udemy.com/binary-beginners-mastery-strategy/,False,0,927,8.0,,Beginner Level,1.0,Business Finance,2017,0
1069866,High-Frequency Trading & Dark Pools,https://www.udemy.com/high-frequency-trading-dark-pools/,True,40,19,11.0,22.0,Beginner Level,2.0,Business Finance,2017,760
1225674,The Advantages of ETF Options and Index Options Trading,https://www.udemy.com/learn-etf-options-and-index-options-trading/,True,60,52,3.0,9.0,Intermediate Level,1.0,Business Finance,2017,3120
1167536,Learn to Trade Forex - from Beginner to Professional,https://www.udemy.com/learn-to-trade-forex-from-only-10-minutes-a-day/,True,195,89,7.0,64.0,All Levels,12.5,Business Finance,2017,17355
980408,Introduction to the economics of public services regulation,https://www.udemy.com/introduction-to-the-economics-of-public-services-regulation/,True,80,98,35.0,69.0,Intermediate Level,8.0,Business Finance,2017,7840
